,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
5450,2021-05-03,37.900002,38.0,37.799999,37.799999,36.843075,2200.0,35.5149998,28.348799955,38.0,-0.20000100000000032,-0.005263184210526295,10606.0,-8406.0,-0.7925702432585329
5451,2021-05-04,37.900002,38.400002,37.299999,37.299999,36.355736,6091.0,35.58299974,28.435299949999997,37.799999,-0.5,-0.013227513577447447,2200.0,3891.0,1.7686363636363636
5452,2021-05-05,37.700001,38.0,37.599998,37.900002,36.940548,10310.0,35.66599978,28.525399965000002,37.299999,0.600003000000001,0.01608587174492948,6091.0,4219.0,0.6926613035626334
5453,2021-05-06,37.799999,38.0,37.799999,37.799999,36.843075,4245.0,35.75099978,28.613649960000004,37.900002,-0.10000300000000095,-0.0026386014438732897,10310.0,-6065.0,-0.5882638215324927
5454,2021-05-07,38.0,38.0,36.5,37.299999,36.355736,7987.0,35.8099998,28.700149955,37.799999,-0.5,-0.013227513577447447,4245.0,3742.0,0.88150765606596
5455,2021-05-10,37.299999,38.0,37.200001,37.400002,36.453205,9408.0,35.88299984,28.786649965000002,37.299999,0.10000300000000095,0.0026810456482855294,7987.0,1421.0,0.17791411042944794
5456,2021-05-11,37.400002,37.5,35.799999,35.900002,34.991177,4833.0,35.9299999,28.86339998,37.400002,-1.5,-0.0401069497269011,9408.0,-4575.0,-0.48628826530612246
5457,2021-05-12,36.200001,36.5,36.0,36.400002,35.478519,2859.0,35.977999940000004,28.941899985,35.900002,0.5,0.013927575825761762,4833.0,-1974.0,-0.4084419615145872
5458,2021-05-13,36.5,36.799999,35.200001,36.299999,35.381046,4713.0,36.02599988,29.01964998,36.400002,-0.10000300000000095,-0.00274733501388269,2859.0,1854.0,0.6484784889821615
5459,2021-05-14,36.200001,37.700001,36.200001,37.599998,36.648136,5902.0,36.07699986,29.10464997,36.299999,1.2999989999999997,0.035812645614673455,4713.0,1189.0,0.25228092510078515
5460,2021-05-17,37.700001,37.900002,37.5,37.799999,36.843075,3858.0,36.14799984,29.19214997,37.599998,0.20000100000000032,0.005319175814849864,5902.0,-2044.0,-0.34632328024398507
5461,2021-05-18,37.799999,38.200001,37.599998,38.099998,37.135483,17016.0,36.226999760000005,29.281649955,37.799999,0.2999989999999997,0.007936481691441344,3858.0,13158.0,3.410575427682737
5462,2021-05-19,38.099998,38.099998,37.700001,37.900002,36.940548,2419.0,36.3049998,29.371649965000003,38.099998,-0.19999599999999873,-0.005249239120694971,17016.0,-14597.0,-0.8578396803008933
5463,2021-05-20,37.700001,38.099998,37.700001,38.0,37.038013,8639.0,36.3649998,29.46314996,37.900002,0.09999799999999937,0.0026384695177588124,2419.0,6220.0,2.5713104588673006
5464,2021-05-21,38.099998,38.599998,38.0,38.200001,37.232948,5013.0,36.42899982,29.553399965000004,38.0,0.20000100000000032,0.005263184210526406,8639.0,-3626.0,-0.4197245051510592
5465,2021-05-24,38.200001,38.200001,37.599998,37.799999,36.843075,2598.0,36.4849998,29.64189996,38.200001,-0.40000200000000063,-0.010471256270386031,5013.0,-2415.0,-0.4817474566128067
5466,2021-05-25,37.700001,38.0,37.700001,38.0,37.038013,5100.0,36.54099978,29.731399959999997,37.799999,0.20000100000000032,0.0052910318860062144,2598.0,2502.0,0.9630484988452657
5467,2021-05-26,38.0,38.400002,37.700001,37.700001,36.745609,7396.0,36.59899982,29.819149965,38.0,-0.2999989999999997,-0.00789471052631574,5100.0,2296.0,0.45019607843137255
5468,2021-05-27,37.599998,37.900002,36.900002,37.799999,36.843075,4788.0,36.6449998,29.90814996,37.700001,0.09999799999999937,0.0026524667731440132,7396.0,-2608.0,-0.3526230394808004
5469,2021-05-28,37.799999,38.0,37.5,37.5,36.550671,4455.0,36.6849998,29.99564996,37.799999,-0.2999989999999997,-0.007936481691441344,4788.0,-333.0,-0.06954887218045114
5470,2021-05-31,37.599998,38.0,37.599998,37.799999,36.843075,12265.0,36.73199976,30.084649955,37.5,0.2999989999999997,0.007999973333333354,4455.0,7810.0,1.7530864197530862
5471,2021-06-01,37.799999,38.299999,37.599998,37.599998,36.648136,15169.0,36.76699976,30.172749945,37.799999,-0.20000100000000032,-0.005291031886006103,12265.0,2904.0,0.23677130044843042
5472,2021-06-02,37.900002,38.200001,37.400002,37.799999,36.843075,40611.0,36.789999699999996,30.26174994,37.599998,0.20000100000000032,0.005319175814849864,15169.0,25442.0,1.6772364691146415
5473,2021-06-03,38.0,38.299999,37.799999,38.200001,37.232948,17896.0,36.84199976,30.352749945,37.799999,0.40000200000000063,0.010582063772012207,40611.0,-22715.0,-0.5593312156804806
5474,2021-06-04,38.5,39.5,38.400002,39.5,38.500038,28751.0,36.909999799999994,30.450249945,38.200001,1.2999989999999997,0.034031386543680986,17896.0,10855.0,0.6065601251676351
5475,2021-06-07,39.700001,40.299999,39.5,39.5,38.500038,15641.0,36.979999799999995,30.546999944999996,39.5,0.0,0.0,28751.0,-13110.0,-0.45598413968209806
5476,2021-06-08,39.599998,40.5,39.599998,40.5,39.474724,11605.0,37.079999799999996,30.649499945,39.5,1.0,0.025316455696202445,15641.0,-4036.0,-0.258039767278307
5477,2021-06-09,40.200001,40.700001,40.200001,40.599998,39.572186,5056.0,37.18799974,30.751749935000003,40.5,0.09999799999999937,0.002469086419752964,11605.0,-6549.0,-0.5643257216716933
5478,2021-06-10,40.5,40.700001,40.5,40.5,39.474724,4157.0,37.29799974,30.852749940000002,40.599998,-0.09999799999999937,-0.002463005047438682,5056.0,-899.0,-0.17780854430379744
5479,2021-06-11,40.5,41.700001,40.5,41.099998,40.059532,8230.0,37.43199966,30.95524993,40.5,0.5999979999999994,0.014814765432098698,4157.0,4073.0,0.9797931200384893
5480,2021-06-14,41.0,41.0,39.900002,40.599998,39.572186,10467.0,37.54399962,31.054749915,41.099998,-0.5,-0.012165450713647274,8230.0,2237.0,0.27181044957472666
5481,2021-06-15,40.700001,41.0,40.5,40.900002,39.864597,7236.0,37.65399962,31.149999925000003,40.599998,0.30000400000000127,0.007389261447746875,10467.0,-3231.0,-0.3086844368013758
5482,2021-06-16,40.900002,40.900002,40.0,40.200001,39.18232,5779.0,37.73799964,31.240749935,40.900002,-0.7000010000000003,-0.01711493803838937,7236.0,-1457.0,-0.2013543394140409
5483,2021-06-17,40.0,40.0,38.700001,39.0,38.012699,36442.0,37.80199966,31.318249934999997,40.200001,-1.2000010000000003,-0.029850770401722126,5779.0,30663.0,5.30593528292092
5484,2021-06-18,38.700001,39.599998,38.700001,39.200001,38.207638,8477.0,37.8699997,31.390749935000002,39.0,0.20000100000000032,0.005128230769230857,36442.0,-27965.0,-0.7673837879369958
